N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9971,0.9729,0.0715,0.7978,0.9826,0.9310,0.8204,0.6969,0.0265,0.0600,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,2,4,4,5,0.8596,0.8215,0.3830,0.7608,0.6862,0.6488,0.3871,0.4658,0.0265,0.4100,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,3,2,4,5,0.9974,0.9746,0.0592,0.7948,0.9885,0.9354,0.8312,0.7041,0.0397,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,3,4,4,5,0.9150,0.8606,0.3095,0.7730,0.7907,0.7321,0.4839,0.5358,0.0397,0.2700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,4,2,4,5,0.9974,0.9746,0.0589,0.7941,0.9885,0.9361,0.8324,0.7048,0.0530,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,4,4,4,5,0.9273,0.8745,0.2783,0.7797,0.8192,0.7511,0.5159,0.5528,0.0530,0.2500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,2,2,8,5,0.9997,0.9968,0.0223,0.8562,0.9912,0.9691,0.8179,0.6030,0.0411,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,2,4,8,5,0.9680,0.9080,0.3330,0.8200,0.9093,0.8207,0.6121,0.5176,0.0411,0.1400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,2,6,8,5,0.8367,0.7826,0.5884,0.7364,0.6794,0.6514,0.3423,0.4220,0.0411,0.2400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,2,8,8,5,0.4388,0.5439,0.3882,0.5417,0.1942,0.2705,0.1068,0.2286,0.0411,0.9300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,3,2,8,5,0.9997,0.9973,0.0174,0.8547,0.9943,0.9723,0.8231,0.6064,0.0616,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,3,4,8,5,0.9823,0.9482,0.2311,0.8503,0.9366,0.8715,0.6834,0.5431,0.0616,0.1200,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,3,6,8,5,0.8970,0.8347,0.5566,0.7694,0.7829,0.7308,0.4347,0.4667,0.0616,0.1900,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,3,8,8,5,0.6796,0.6980,0.5521,0.6755,0.4619,0.4803,0.2180,0.3204,0.0616,0.4700,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,4,2,8,5,0.9997,0.9976,0.0174,0.8550,0.9943,0.9732,0.8236,0.6066,0.0821,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,4,4,8,5,0.9857,0.9660,0.1719,0.8613,0.9538,0.8947,0.7196,0.5513,0.0821,0.1000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,4,6,8,5,0.9279,0.8528,0.4983,0.7831,0.8322,0.7626,0.4898,0.4875,0.0821,0.1600,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,4,8,8,5,0.7577,0.7466,0.5792,0.7124,0.5702,0.5738,0.2737,0.3674,0.0821,0.3500,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,2,2,16,5,0.9997,0.9956,0.0260,0.8572,0.9916,0.9678,0.8180,0.6022,0.0411,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,2,4,16,5,0.9660,0.9259,0.3410,0.8418,0.9044,0.8293,0.6099,0.5235,0.0411,0.1500,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
